TIMESTAMP: 56.500000, X: 15.728901, Y: -7.401833, Z: 22.646887, PITCH: 0.235252, YAW: 1.715617
TIMESTAMP: 57.000000, X: 15.726839, Y: -7.006056, Z: 22.867333, PITCH: 0.183102, YAW: 1.487687
TIMESTAMP: 57.500000, X: 15.747401, Y: -6.571785, Z: 23.053472, PITCH: 0.130947, YAW: 1.259753
TIMESTAMP: 58.000000, X: 15.801771, Y: -6.128056, Z: 23.206186, PITCH: 0.078799, YAW: 1.031826
TIMESTAMP: 58.500000, X: 15.901448, Y: -5.703135, Z: 23.328546, PITCH: 0.026664, YAW: 0.803995
TIMESTAMP: 59.000000, X: 16.056821, Y: -5.322466, Z: 23.425300, PITCH: -0.025398, YAW: 0.576874
TIMESTAMP: 59.500000, X: 16.275803, Y: -5.006801, Z: 23.502299, PITCH: -0.077764, YAW: 0.346787
TIMESTAMP: 60.000000, X: 16.562665, Y: -4.770656, Z: 23.565891, PITCH: -0.129342, YAW: 0.124733
TIMESTAMP: 60.500000, X: 16.917188, Y: -4.621236, Z: 23.622352, PITCH: -0.133069, YAW: 0.398921
TIMESTAMP: 61.000000, X: 17.334237, Y: -4.557966, Z: 23.677393, PITCH: -0.136342, YAW: 0.677348
TIMESTAMP: 61.500000, X: 17.803834, Y: -4.572698, Z: 23.735774, PITCH: -0.140221, YAW: 0.949687
TIMESTAMP: 62.000000, X: 18.311680, Y: -4.650540, Z: 23.801036, PITCH: -0.144130, YAW: 1.221870
TIMESTAMP: 62.500000, X: 18.840033, Y: -4.771155, Z: 23.875328, PITCH: -0.148011, YAW: 1.494233
TIMESTAMP: 63.000000, X: 19.368842, Y: -4.910416, Z: 23.959341, PITCH: -0.151892, YAW: 1.766621
TIMESTAMP: 63.500000, X: 19.877050, Y: -5.042264, Z: 24.052311, PITCH: -0.155778, YAW: 2.039349
TIMESTAMP: 64.000000, X: 20.343947, Y: -5.140644, Z: 24.152096, PITCH: -0.159652, YAW: 2.310945
TIMESTAMP: 64.500000, X: 20.750498, Y: -5.181375, Z: 24.255314, PITCH: -0.163454, YAW: 2.574614
TIMESTAMP: 65.000000, X: 21.080535, Y: -5.143824, Z: 24.357533, PITCH: -0.164683, YAW: 2.557524
TIMESTAMP: 65.500000, X: 21.321712, Y: -5.012244, Z: 24.453484, PITCH: -0.164382, YAW: 2.373111
TIMESTAMP: 66.000000, X: 21.466161, Y: -4.776666, Z: 24.537321, PITCH: -0.163975, YAW: 2.177360
TIMESTAMP: 66.500000, X: 21.510802, Y: -4.433320, Z: 24.602878, PITCH: -0.163563, YAW: 1.980989
TIMESTAMP: 67.000000, X: 21.457363, Y: -3.984630, Z: 24.643951, PITCH: -0.163154, YAW: 1.785043
TIMESTAMP: 67.500000, X: 21.312131, Y: -3.438843, Z: 24.654576, PITCH: -0.162746, YAW: 1.589116
TIMESTAMP: 68.000000, X: 21.085491, Y: -2.809351, Z: 24.629303, PITCH: -0.162338, YAW: 1.393175
TIMESTAMP: 68.500000, X: 20.791278, Y: -2.113774, Z: 24.563462, PITCH: -0.161929, YAW: 1.197234
TIMESTAMP: 69.000000, X: 20.445996, Y: -1.372859, Z: 24.453405, PITCH: -0.161521, YAW: 1.001293
