TIMESTAMP: 7.900000, X: -5.471435, Y: 16.520468, Z: -9.192047, PITCH: -0.099425, YAW: -1.524985
TIMESTAMP: 8.000000, X: -5.524309, Y: 16.481910, Z: -9.177087, PITCH: -0.099971, YAW: -1.533363
TIMESTAMP: 8.100000, X: -5.575934, Y: 16.443359, Z: -9.163381, PITCH: -0.100517, YAW: -1.541740
TIMESTAMP: 8.200000, X: -5.626195, Y: 16.404861, Z: -9.150882, PITCH: -0.101064, YAW: -1.550121
TIMESTAMP: 8.300000, X: -5.674977, Y: 16.366458, Z: -9.139533, PITCH: -0.101611, YAW: -1.558503
TIMESTAMP: 8.400000, X: -5.722165, Y: 16.328194, Z: -9.129270, PITCH: -0.102156, YAW: -1.566879
TIMESTAMP: 8.500000, X: -5.767643, Y: 16.290115, Z: -9.120021, PITCH: -0.102701, YAW: -1.575252
TIMESTAMP: 8.600000, X: -5.811296, Y: 16.252264, Z: -9.111705, PITCH: -0.103249, YAW: -1.583637
TIMESTAMP: 8.700000, X: -5.853010, Y: 16.214686, Z: -9.104234, PITCH: -0.103799, YAW: -1.592028
TIMESTAMP: 8.800000, X: -5.892668, Y: 16.177422, Z: -9.097511, PITCH: -0.104342, YAW: -1.600396
TIMESTAMP: 8.900000, X: -5.930158, Y: 16.140518, Z: -9.091432, PITCH: -0.104882, YAW: -1.608754
TIMESTAMP: 9.000000, X: -5.965366, Y: 16.104014, Z: -9.085884, PITCH: -0.105434, YAW: -1.617154
TIMESTAMP: 9.100000, X: -5.998181, Y: 16.067954, Z: -9.080750, PITCH: -0.105992, YAW: -1.625571
TIMESTAMP: 9.200000, X: -6.028490, Y: 16.032377, Z: -9.075903, PITCH: -0.106527, YAW: -1.633912
TIMESTAMP: 9.300000, X: -6.056184, Y: 15.997324, Z: -9.071212, PITCH: -0.107051, YAW: -1.642219
TIMESTAMP: 9.400000, X: -6.081155, Y: 15.962834, Z: -9.066536, PITCH: -0.107619, YAW: -1.650670
TIMESTAMP: 9.500000, X: -6.103295, Y: 15.928943, Z: -9.061734, PITCH: -0.108206, YAW: -1.659184
TIMESTAMP: 9.600000, X: -6.122500, Y: 15.895689, Z: -9.056654, PITCH: -0.108712, YAW: -1.667428
TIMESTAMP: 9.700000, X: -6.138667, Y: 15.863105, Z: -9.051144, PITCH: -0.109183, YAW: -1.675556
TIMESTAMP: 9.800000, X: -6.151695, Y: 15.831224, Z: -9.045045, PITCH: -0.109805, YAW: -1.684186
TIMESTAMP: 9.900000, X: -6.161484, Y: 15.800078, Z: -9.038197, PITCH: -0.110488, YAW: -1.693024
TIMESTAMP: 10.000000, X: -6.167939, Y: 15.769694, Z: -9.030433, PITCH: -0.110897, YAW: -1.700944
TIMESTAMP: 10.100000, X: -6.170966, Y: 15.740100, Z: -9.021590, PITCH: -0.111217, YAW: -1.708565
TIMESTAMP: 10.200000, X: -6.170473, Y: 15.711319, Z: -9.011499, PITCH: -0.111990, YAW: -1.717702
TIMESTAMP: 10.300000, X: -6.166373, Y: 15.683373, Z: -8.999994, PITCH: -0.112536, YAW: -1.726080
TIMESTAMP: 10.400000, X: -6.158580, Y: 15.656281, Z: -8.986906, PITCH: -0.111412, YAW: -1.728855
TIMESTAMP: 10.500000, X: -6.147013, Y: 15.630058, Z: -8.972072, PITCH: -0.109047, YAW: -1.727463
TIMESTAMP: 10.600000, X: -6.131592, Y: 15.604717, Z: -8.955328, PITCH: -0.107009, YAW: -1.727166
TIMESTAMP: 10.700000, X: -6.112242, Y: 15.580269, Z: -8.936516, PITCH: -0.105561, YAW: -1.728852
TIMESTAMP: 10.800000, X: -6.088892, Y: 15.556717, Z: -8.915481, PITCH: -0.103971, YAW: -1.730061
TIMESTAMP: 10.900000, X: -6.061473, Y: 15.534065, Z: -8.892076, PITCH: -0.102074, YAW: -1.730238
TIMESTAMP: 11.000000, X: -6.029923, Y: 15.512311, Z: -8.866159, PITCH: -0.100248, YAW: -1.730656
TIMESTAMP: 11.100000, X: -5.994179, Y: 15.491449, Z: -8.837599, PITCH: -0.098587, YAW: -1.731625
TIMESTAMP: 11.200000, X: -5.954187, Y: 15.471469, Z: -8.806272, PITCH: -0.096887, YAW: -1.732465
TIMESTAMP: 11.300000, X: -5.909895, Y: 15.452357, Z: -8.772066, PITCH: -0.095100, YAW: -1.733011
TIMESTAMP: 11.400000, X: -5.861256, Y: 15.434095, Z: -8.734882, PITCH: -0.093333, YAW: -1.733626
TIMESTAMP: 11.500000, X: -5.808225, Y: 15.416658, Z: -8.694631, PITCH: -0.091613, YAW: -1.734398
TIMESTAMP: 11.600000, X: -5.750767, Y: 15.400021, Z: -8.651242, PITCH: -0.089881, YAW: -1.735134
TIMESTAMP: 11.700000, X: -5.688847, Y: 15.384149, Z: -8.604657, PITCH: -0.088126, YAW: -1.735785
TIMESTAMP: 11.800000, X: -5.622437, Y: 15.369007, Z: -8.554834, PITCH: -0.086377, YAW: -1.736455
TIMESTAMP: 11.900000, X: -5.551514, Y: 15.354553, Z: -8.501750, PITCH: -0.084639, YAW: -1.737172
TIMESTAMP: 12.000000, X: -5.476059, Y: 15.340740, Z: -8.445399, PITCH: -0.082896, YAW: -1.737878
TIMESTAMP: 12.100000, X: -5.396062, Y: 15.327520, Z: -8.385795, PITCH: -0.081151, YAW: -1.738558
TIMESTAMP: 12.200000, X: -5.311513, Y: 15.314836, Z: -8.322969, PITCH: -0.079411, YAW: -1.739244
TIMESTAMP: 12.300000, X: -5.222414, Y: 15.302630, Z: -8.256977, PITCH: -0.077664, YAW: -1.739945
TIMESTAMP: 12.400000, X: -5.128768, Y: 15.290841, Z: -8.187892, PITCH: -0.075913, YAW: -1.740646
TIMESTAMP: 12.500000, X: -5.030586, Y: 15.279401, Z: -8.115810, PITCH: -0.074177, YAW: -1.741332
TIMESTAMP: 12.600000, X: -4.927887, Y: 15.268242, Z: -8.040848, PITCH: -0.072449, YAW: -1.742017
TIMESTAMP: 12.700000, X: -4.820693, Y: 15.257292, Z: -7.963146, PITCH: -0.070690, YAW: -1.742719
TIMESTAMP: 12.800000, X: -4.709035, Y: 15.246478, Z: -7.882863, PITCH: -0.068917, YAW: -1.743425
TIMESTAMP: 12.900000, X: -4.592951, Y: 15.235722, Z: -7.800182, PITCH: -0.067203, YAW: -1.744106
TIMESTAMP: 13.000000, X: -4.472486, Y: 15.224949, Z: -7.715308, PITCH: -0.065516, YAW: -1.744775
TIMESTAMP: 13.100000, X: -4.347691, Y: 15.214080, Z: -7.628463, PITCH: -0.063716, YAW: -1.745492
TIMESTAMP: 13.200000, X: -4.218626, Y: 15.203040, Z: -7.539893, PITCH: -0.061864, YAW: -1.746231
TIMESTAMP: 13.300000, X: -4.085360, Y: 15.191751, Z: -7.449862, PITCH: -0.060229, YAW: -1.746879
TIMESTAMP: 13.400000, X: -3.947968, Y: 15.180140, Z: -7.358651, PITCH: -0.058723, YAW: -1.747475
TIMESTAMP: 13.500000, X: -3.806533, Y: 15.168137, Z: -7.266560, PITCH: -0.056698, YAW: -1.748284
TIMESTAMP: 13.600000, X: -3.661150, Y: 15.155673, Z: -7.173902, PITCH: -0.053766, YAW: -1.749456
TIMESTAMP: 13.700000, X: -3.511921, Y: 15.142688, Z: -7.081007, PITCH: -0.050373, YAW: -1.750798
TIMESTAMP: 13.800000, X: -3.358956, Y: 15.129126, Z: -6.988213, PITCH: -0.047146, YAW: -1.752070
TIMESTAMP: 13.900000, X: -3.202377, Y: 15.114940, Z: -6.895871, PITCH: -0.044129, YAW: -1.753283
TIMESTAMP: 14.000000, X: -3.042315, Y: 15.100092, Z: -6.804338, PITCH: -0.041046, YAW: -1.754531
TIMESTAMP: 14.100000, X: -2.878912, Y: 15.084553, Z: -6.713975, PITCH: -0.037851, YAW: -1.755776
TIMESTAMP: 14.200000, X: -2.712319, Y: 15.068307, Z: -6.625148, PITCH: -0.034688, YAW: -1.756994
