TIMESTAMP: 12.600000, X: 9.520752, Y: 9.647317, Z: -3.499397, PITCH: 0.431521, YAW: 1.626916
TIMESTAMP: 12.700000, X: 9.702571, Y: 9.647440, Z: -3.554675, PITCH: 0.436927, YAW: 1.628962
TIMESTAMP: 12.800000, X: 9.883508, Y: 9.644593, Z: -3.611363, PITCH: 0.440100, YAW: 1.637140
TIMESTAMP: 12.900000, X: 10.063580, Y: 9.638681, Z: -3.669482, PITCH: 0.441088, YAW: 1.651322
TIMESTAMP: 13.000000, X: 10.242808, Y: 9.629636, Z: -3.729054, PITCH: 0.441639, YAW: 1.666701
TIMESTAMP: 13.100000, X: 10.421219, Y: 9.617415, Z: -3.790095, PITCH: 0.442861, YAW: 1.680235
TIMESTAMP: 13.200000, X: 10.598848, Y: 9.602002, Z: -3.852619, PITCH: 0.444332, YAW: 1.693091
TIMESTAMP: 13.300000, X: 10.775735, Y: 9.583408, Z: -3.916637, PITCH: 0.445487, YAW: 1.706811
TIMESTAMP: 13.400000, X: 10.951927, Y: 9.561671, Z: -3.982152, PITCH: 0.446509, YAW: 1.720896
TIMESTAMP: 13.500000, X: 11.127474, Y: 9.536855, Z: -4.049167, PITCH: 0.447695, YAW: 1.734534
TIMESTAMP: 13.600000, X: 11.302431, Y: 9.509050, Z: -4.117675, PITCH: 0.448952, YAW: 1.747975
TIMESTAMP: 13.700000, X: 11.476858, Y: 9.478373, Z: -4.187665, PITCH: 0.450122, YAW: 1.761655
TIMESTAMP: 13.800000, X: 11.650817, Y: 9.444961, Z: -4.259119, PITCH: 0.451254, YAW: 1.775440
TIMESTAMP: 13.900000, X: 11.824375, Y: 9.408978, Z: -4.332010, PITCH: 0.452432, YAW: 1.789098
TIMESTAMP: 14.000000, X: 11.997596, Y: 9.370609, Z: -4.406306, PITCH: 0.453630, YAW: 1.802696
TIMESTAMP: 14.100000, X: 12.170551, Y: 9.330059, Z: -4.481965, PITCH: 0.454804, YAW: 1.816364
TIMESTAMP: 14.200000, X: 12.343307, Y: 9.287552, Z: -4.558936, PITCH: 0.455968, YAW: 1.830070
TIMESTAMP: 14.300000, X: 12.515931, Y: 9.243328, Z: -4.637162, PITCH: 0.457144, YAW: 1.843734
TIMESTAMP: 14.400000, X: 12.688491, Y: 9.197647, Z: -4.716575, PITCH: 0.458325, YAW: 1.857369
TIMESTAMP: 14.500000, X: 12.861051, Y: 9.150778, Z: -4.797098, PITCH: 0.459500, YAW: 1.871031
TIMESTAMP: 14.600000, X: 13.033673, Y: 9.103004, Z: -4.878647, PITCH: 0.460673, YAW: 1.884729
TIMESTAMP: 14.700000, X: 13.206416, Y: 9.054618, Z: -4.961127, PITCH: 0.461849, YAW: 1.898400
TIMESTAMP: 14.800000, X: 13.379332, Y: 9.005922, Z: -5.044437, PITCH: 0.463024, YAW: 1.912019
TIMESTAMP: 14.900000, X: 13.552473, Y: 8.957220, Z: -5.128467, PITCH: 0.464200, YAW: 1.925701
TIMESTAMP: 15.000000, X: 13.725882, Y: 8.908825, Z: -5.213101, PITCH: 0.465389, YAW: 1.939565
TIMESTAMP: 15.100000, X: 13.899597, Y: 8.861049, Z: -5.298216, PITCH: 0.466594, YAW: 1.953540
TIMESTAMP: 15.200000, X: 14.073652, Y: 8.814203, Z: -5.383686, PITCH: 0.467798, YAW: 1.967487
TIMESTAMP: 15.300000, X: 14.248073, Y: 8.768599, Z: -5.469379, PITCH: 0.468990, YAW: 1.981395
TIMESTAMP: 15.400000, X: 14.422878, Y: 8.724541, Z: -5.555161, PITCH: 0.470179, YAW: 1.995321
TIMESTAMP: 15.500000, X: 14.598081, Y: 8.682330, Z: -5.640900, PITCH: 0.471384, YAW: 2.009246
TIMESTAMP: 15.600000, X: 14.773686, Y: 8.642258, Z: -5.726462, PITCH: 0.472597, YAW: 2.023152
TIMESTAMP: 15.700000, X: 14.949693, Y: 8.604607, Z: -5.811716, PITCH: 0.473783, YAW: 2.037094
TIMESTAMP: 15.800000, X: 15.126094, Y: 8.569648, Z: -5.896536, PITCH: 0.474953, YAW: 2.051067
TIMESTAMP: 15.900000, X: 15.302873, Y: 8.537637, Z: -5.980803, PITCH: 0.476173, YAW: 2.064954
TIMESTAMP: 16.000000, X: 15.480009, Y: 8.508818, Z: -6.064403, PITCH: 0.477422, YAW: 2.078784
TIMESTAMP: 16.100000, X: 15.657473, Y: 8.483418, Z: -6.147234, PITCH: 0.478578, YAW: 2.092787
TIMESTAMP: 16.200000, X: 15.835232, Y: 8.461645, Z: -6.229205, PITCH: 0.479681, YAW: 2.106895
TIMESTAMP: 16.300000, X: 16.013244, Y: 8.443690, Z: -6.310237, PITCH: 0.480956, YAW: 2.120672
TIMESTAMP: 16.400000, X: 16.191464, Y: 8.429723, Z: -6.390264, PITCH: 0.482331, YAW: 2.134256
TIMESTAMP: 16.500000, X: 16.369841, Y: 8.419894, Z: -6.469238, PITCH: 0.483385, YAW: 2.148460
TIMESTAMP: 16.600000, X: 16.548319, Y: 8.414331, Z: -6.547126, PITCH: 0.484257, YAW: 2.163016
TIMESTAMP: 16.700000, X: 16.726838, Y: 8.413140, Z: -6.623912, PITCH: 0.485721, YAW: 2.176427
TIMESTAMP: 16.800000, X: 16.905333, Y: 8.416405, Z: -6.699600, PITCH: 0.487475, YAW: 2.189272
TIMESTAMP: 16.900000, X: 17.083739, Y: 8.424186, Z: -6.774211, PITCH: 0.488211, YAW: 2.204095
TIMESTAMP: 17.000000, X: 17.261984, Y: 8.436520, Z: -6.847787, PITCH: 0.489102, YAW: 2.218614
