TIMESTAMP: 16.400000, X: -0.927000, Y: -9.101697, Z: 11.251462, PITCH: 0.133455, YAW: 1.660730
TIMESTAMP: 16.500000, X: -1.040667, Y: -9.075103, Z: 11.135999, PITCH: 0.128013, YAW: 1.651525
TIMESTAMP: 16.600000, X: -1.156660, Y: -9.049097, Z: 11.016410, PITCH: 0.122562, YAW: 1.642307
TIMESTAMP: 16.700000, X: -1.274677, Y: -9.023611, Z: 10.893034, PITCH: 0.117102, YAW: 1.633076
TIMESTAMP: 16.800000, X: -1.394392, Y: -8.998582, Z: 10.766215, PITCH: 0.111647, YAW: 1.623854
TIMESTAMP: 16.900000, X: -1.515467, Y: -8.973949, Z: 10.636299, PITCH: 0.106198, YAW: 1.614639
TIMESTAMP: 17.000000, X: -1.637547, Y: -8.949657, Z: 10.503631, PITCH: 0.100747, YAW: 1.605421
TIMESTAMP: 17.100000, X: -1.760268, Y: -8.925656, Z: 10.368560, PITCH: 0.095289, YAW: 1.596193
TIMESTAMP: 17.200000, X: -1.883252, Y: -8.901908, Z: 10.231430, PITCH: 0.089834, YAW: 1.586969
TIMESTAMP: 17.300000, X: -2.006116, Y: -8.878381, Z: 10.092583, PITCH: 0.084386, YAW: 1.577758
TIMESTAMP: 17.400000, X: -2.128472, Y: -8.855057, Z: 9.952357, PITCH: 0.078940, YAW: 1.568548
TIMESTAMP: 17.500000, X: -2.249928, Y: -8.831928, Z: 9.811084, PITCH: 0.073476, YAW: 1.559310
TIMESTAMP: 17.600000, X: -2.370092, Y: -8.808999, Z: 9.669090, PITCH: 0.067990, YAW: 1.550033
TIMESTAMP: 17.700000, X: -2.488571, Y: -8.786287, Z: 9.526692, PITCH: 0.062493, YAW: 1.540740
TIMESTAMP: 17.800000, X: -2.604980, Y: -8.763825, Z: 9.384199, PITCH: 0.057001, YAW: 1.531454
TIMESTAMP: 17.900000, X: -2.718936, Y: -8.741657, Z: 9.241906, PITCH: 0.051512, YAW: 1.522172
TIMESTAMP: 18.000000, X: -2.830066, Y: -8.719838, Z: 9.100100, PITCH: 0.046021, YAW: 1.512887
TIMESTAMP: 18.100000, X: -2.938007, Y: -8.698437, Z: 8.959052, PITCH: 0.040531, YAW: 1.503604
TIMESTAMP: 18.200000, X: -3.042406, Y: -8.677536, Z: 8.819021, PITCH: 0.035042, YAW: 1.494324
TIMESTAMP: 18.300000, X: -3.142925, Y: -8.657223, Z: 8.680249, PITCH: 0.029549, YAW: 1.485035
TIMESTAMP: 18.400000, X: -3.239243, Y: -8.637599, Z: 8.542962, PITCH: 0.024054, YAW: 1.475742
TIMESTAMP: 18.500000, X: -3.331055, Y: -8.618770, Z: 8.407369, PITCH: 0.018568, YAW: 1.466468
TIMESTAMP: 18.600000, X: -3.418073, Y: -8.600850, Z: 8.273661, PITCH: 0.013086, YAW: 1.457202
TIMESTAMP: 18.700000, X: -3.500033, Y: -8.583958, Z: 8.142010, PITCH: 0.007585, YAW: 1.447897
TIMESTAMP: 18.800000, X: -3.576692, Y: -8.568215, Z: 8.012569, PITCH: 0.002078, YAW: 1.438579
TIMESTAMP: 18.900000, X: -3.647828, Y: -8.553745, Z: 7.885470, PITCH: -0.003393, YAW: 1.429335
TIMESTAMP: 19.000000, X: -3.713246, Y: -8.540670, Z: 7.760823, PITCH: -0.008853, YAW: 1.420114
TIMESTAMP: 19.100000, X: -3.772777, Y: -8.529113, Z: 7.638719, PITCH: -0.014381, YAW: 1.410754
TIMESTAMP: 19.200000, X: -3.826277, Y: -8.519190, Z: 7.519227, PITCH: -0.019928, YAW: 1.401351
TIMESTAMP: 19.300000, X: -3.873631, Y: -8.511016, Z: 7.402393, PITCH: -0.025351, YAW: 1.392210
TIMESTAMP: 19.400000, X: -3.914750, Y: -8.504694, Z: 7.288243, PITCH: -0.030734, YAW: 1.383149
TIMESTAMP: 19.500000, X: -3.949578, Y: -8.500323, Z: 7.176780, PITCH: -0.036354, YAW: 1.373596
TIMESTAMP: 19.600000, X: -3.978085, Y: -8.497988, Z: 7.067987, PITCH: -0.042047, YAW: 1.363889
TIMESTAMP: 19.700000, X: -4.000273, Y: -8.497764, Z: 6.961826, PITCH: -0.047294, YAW: 1.355114
TIMESTAMP: 19.800000, X: -4.016173, Y: -8.499715, Z: 6.858236, PITCH: -0.052383, YAW: 1.346670
TIMESTAMP: 19.900000, X: -4.025846, Y: -8.503887, Z: 6.757138, PITCH: -0.058359, YAW: 1.336370
TIMESTAMP: 20.000000, X: -4.029384, Y: -8.510313, Z: 6.658436, PITCH: -0.064815, YAW: 1.325066
